------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:57:28 (uptime: 0d, 00h 00m 47s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 745
decoder.pkts                                  | Total                     | 745
decoder.bytes                                 | Total                     | 282889
decoder.ipv4                                  | Total                     | 103
decoder.ipv6                                  | Total                     | 640
decoder.ethernet                              | Total                     | 745
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 647
tcp.syn                                       | Total                     | 10
tcp.synack                                    | Total                     | 10
tcp.rst                                       | Total                     | 16
decoder.udp                                   | Total                     | 67
decoder.icmpv6                                | Total                     | 29
decoder.avg_pkt_size                          | Total                     | 379
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 10
flow.total                                    | Total                     | 50
flow.active                                   | Total                     | 48
flow.tcp                                      | Total                     | 23
flow.udp                                      | Total                     | 21
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 10
tcp.segment_from_pool                         | Total                     | 125
detect.alert                                  | Total                     | 27
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 9
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 16
app_layer.tx.dns_udp                          | Total                     | 41
app_layer.flow.failed_udp                     | Total                     | 4
flow.end.state.new                            | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9201
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 58
flow.mgr.flows_notimeout                      | Total                     | 56
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1003520
http.memuse                                   | Total                     | 112
